,asmodeus,azazel,behemoth,gabriel,leviathan,lilith,metatron,michael,raphael,samael,shekhinah,sophia,yaldabaoth
adam,0,0,0,1,0,2,0,2,1,0,0,1,0
cain_and_abel,0,0,0,0,0,0,0,0,0,1,0,1,2
daniel,0,0,0,2,0,0,0,1,0,0,0,0,0
deborah_and_jael,0,0,0,0,0,0,0,0,0,0,0,0,0
delilah,0,0,0,0,0,0,0,0,0,0,0,0,0
elijah,0,0,0,0,0,0,0,0,0,0,0,0,0
enoch,0,1,0,2,0,0,1,2,1,0,0,0,0
esther,0,0,0,0,0,0,0,0,0,0,0,0,0
eve,0,0,0,0,0,0,0,1,0,1,0,0,0
gideon,0,0,0,0,0,0,0,0,0,0,0,0,0
jacob,0,0,0,0,0,0,0,1,0,1,0,0,0
job,0,0,1,1,1,0,0,0,0,0,0,0,0
jonah,0,0,0,0,1,0,0,0,0,0,0,0,0
joseph_the_dreamer,0,0,0,1,0,0,0,0,0,0,0,0,0
joshua,0,0,0,0,0,0,0,1,0,0,0,0,0
judith,0,0,0,0,0,0,0,0,0,0,0,0,0
lot,0,0,0,0,0,0,0,0,0,0,1,0,0
nimrod,0,0,0,1,0,0,0,1,0,0,0,0,0
samson,0,0,0,0,0,0,0,0,0,0,0,0,0
solomon,1,0,0,0,0,0,0,1,0,0,0,1,0
