,adam,cain_and_abel,daniel,deborah_and_jael,delilah,elijah,enoch,esther,eve,gideon,jacob,job,jonah,joseph_the_dreamer,joshua,judith,lot,nimrod,samson,solomon
adam,,1,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0
cain_and_abel,1,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
daniel,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
deborah_and_jael,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
delilah,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
elijah,0,0,0,0,0,,2,0,0,0,1,0,0,0,0,0,0,0,0,0
enoch,2,1,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0
esther,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
eve,3,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
gideon,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0
jacob,0,0,0,0,0,1,0,0,0,0,,1,0,3,0,0,0,0,0,0
job,0,0,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0
jonah,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
joseph_the_dreamer,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,0,0,0
joshua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
judith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
lot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
nimrod,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,,0,0
samson,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
solomon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
