,arawn,bran_the_blessed,branwen,bres,ceridwen,dagda,donn,gwydion,lleu,lugh,manannan,manawydan,math,morrigan,nuada,rhiannon
conall_cernach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conchobar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cu_chulainn,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0
culhwch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
deirdre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diarmuid_and_grainne,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
emer,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
etain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ferdiad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fergus_mac_roich,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
finn_mac_cumhaill,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
medb,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
oisin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
peredur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pwyll_and_pryderi,2,1,1,0,0,0,0,4,0,0,0,4,1,0,0,3
scathach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taliesin,0,1,0,0,3,0,0,1,1,0,0,0,0,0,0,1
