,conall_cernach,conchobar,cu_chulainn,culhwch,deirdre,diarmuid_and_grainne,emer,etain,ferdiad,fergus_mac_roich,finn_mac_cumhaill,medb,oisin,owain,peredur,pwyll_and_pryderi,scathach,taliesin
conall_cernach,,3,6,0,0,0,4,0,0,3,0,4,0,0,0,0,0,0
conchobar,3,,6,0,7,0,2,0,0,8,0,4,0,0,0,0,0,0
cu_chulainn,6,6,,0,0,0,9,0,7,6,0,5,1,0,0,0,9,0
culhwch,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deirdre,0,7,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0
diarmuid_and_grainne,0,0,0,0,0,,0,0,0,0,9,0,5,0,0,0,0,0
emer,4,2,9,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
etain,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0
ferdiad,0,0,7,0,0,0,0,0,,1,1,2,0,0,0,0,3,0
fergus_mac_roich,3,8,6,0,3,0,0,0,1,,0,6,0,0,0,0,0,0
finn_mac_cumhaill,0,0,0,0,0,9,0,0,1,0,,0,2,0,0,0,0,0
medb,4,4,5,0,0,0,0,0,2,6,0,,0,0,0,0,1,0
oisin,0,0,1,0,0,5,0,1,0,0,2,0,,0,0,0,0,0
owain,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
peredur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
pwyll_and_pryderi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,4
scathach,0,0,9,0,0,0,0,0,3,0,0,1,0,0,0,0,,0
taliesin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,
