,achilles,actaeon,adrastus,agamemnon,ajax,alcestis_and_admetus,alcmene_and_amphitryon,amphiaraus,andromache,andromeda,antigone,arachne,argonauts,atalanta,bellerophon,cadmus,callisto,cassandra,clytemnestra,daedalus_and_icarus,deianira,deucalion_and_pyrrha,diomedes,electra,hector,hecuba,helen,heracles_labours,hippolytus_and_phaedra,io,iphigenia,ixion,jason,laocoon,leda,medea,meleager,memnon,menelaus,midas,minos,narcissus_and_echo,neoptolemus,nestor,niobe,odysseus_hero,oedipus,orestes,orpheus,palamedes,pandora,paris,patroclus,peleus,pelops,penelope,penthesilea,pentheus,perseus,phaethon,philoctetes,philomela_and_procne,polyxena,priam,protesilaus_and_laodamia,pygmalion,rhadamanthus_and_aeacus,sarpedon,semele,seven_against_thebes,sisyphus,tantalus,telemachus,theseus,tiresias,trophonius
achilles,,0,0,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,5,2,2,0,0,0,7,0,0,0,0,2,0,3,2,0,0,1,3,3,1,6,0,0,0,1,0,2,9,4,0,0,8,0,0,0,0,0,6,1,2,0,1,0,0,0,0,0,0,0,0,0
actaeon,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
adrastus,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
agamemnon,6,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,2,3,2,1,2,0,0,0,5,0,0,0,0,0,0,1,3,0,0,0,2,2,0,4,0,3,0,2,0,2,2,0,3,1,1,0,0,0,2,0,2,2,1,0,0,0,0,0,0,2,1,0,0,0
ajax,7,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,5,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0
alcestis_and_admetus,0,0,0,0,0,,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alcmene_and_amphitryon,0,0,0,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,2
amphiaraus,0,0,5,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
andromache,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
andromeda,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
