,aditi,agni,andhaka,balarama,bali,bhairava,brahma,chandra_soma,durga,ganga,garuda,hanuman,indra,kali,kalki,kama,kartikeya,kubera,narada,narasimha,parvati,rama,ravana,rudra,sampati,sita,surya,varuna,vasus,vayu
abhimanyu,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arjuna,0,1,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
ashwatthama,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
bhima,0,0,0,2,0,1,0,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
bhishma,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
dhruva,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,2
draupadi,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
drona,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duryodhana,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ekalavya,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gandhari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ghatotkacha,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
harishchandra,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
karna,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
kunti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
nala_and_damayanti,0,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
prahlada,0,0,1,0,3,0,1,0,0,0,0,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
savitri_and_satyavan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
shakuntala,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
sugriva,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2,0,1,1,2,0,0,0
vibhishana,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,1,1,0,0,0,5,5,0,0,1,0,0,0,0
yudhishthira,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0
