,abhimanyu,arjuna,ashwatthama,bhima,bhishma,dhruva,draupadi,drona,duryodhana,ekalavya,gandhari,ghatotkacha,harishchandra,karna,kunti,nala_and_damayanti,prahlada,savitri_and_satyavan,shakuntala,sugriva,vibhishana,yudhishthira
abhimanyu,,3,2,2,0,0,1,2,3,0,2,4,0,2,0,0,0,0,0,0,0,2
arjuna,3,,3,3,4,0,3,5,4,2,1,2,0,7,2,0,0,0,0,0,0,5
ashwatthama,2,3,,2,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1
bhima,2,3,2,,2,0,5,4,7,1,2,5,0,3,3,0,0,0,0,0,0,4
bhishma,0,4,0,2,,0,2,2,4,0,4,0,0,4,2,0,0,0,0,0,0,3
dhruva,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draupadi,1,3,1,5,2,0,,0,1,0,1,1,0,5,0,0,0,1,0,0,0,4
drona,2,5,2,4,2,0,0,,4,3,2,1,0,2,0,0,0,0,0,0,0,6
duryodhana,3,4,3,7,4,0,1,4,,0,4,1,0,2,1,0,0,0,0,0,0,7
ekalavya,0,2,0,1,0,0,0,3,0,,0,0,0,0,0,0,0,0,0,0,0,2
gandhari,2,1,0,2,4,0,1,2,4,0,,0,0,1,4,0,0,0,0,0,0,5
ghatotkacha,4,2,1,5,0,0,1,1,1,0,0,,0,3,2,0,0,0,0,0,1,1
harishchandra,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0
karna,2,7,0,3,4,0,5,2,2,0,1,3,0,,6,0,0,0,0,0,0,3
kunti,0,2,0,3,2,0,0,0,1,0,4,2,0,6,,0,0,0,0,0,0,4
nala_and_damayanti,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,1,1,1
prahlada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
savitri_and_satyavan,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,2
shakuntala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
sugriva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,4,0
vibhishana,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,,1
yudhishthira,2,5,1,4,3,0,4,6,7,2,5,1,0,3,4,1,0,2,0,0,1,
