,amaterasu,benzaiten,ebisu,hachiman,inari,okuninushi,raijin_and_fujin,ryujin,takemikazuchi,toyotama_hime,tsukuyomi
abe_no_seimei,0,0,0,0,1,0,0,0,0,0,0
benkei,0,0,0,0,0,0,0,0,0,0,0
empress_jingu,0,0,0,2,0,0,0,1,0,1,0
issun_boshi,1,0,0,0,0,0,0,0,0,0,0
jimmu,2,0,0,0,0,0,0,1,1,0,0
kaguya_hime,0,0,0,0,0,0,0,0,0,0,0
kintaro,0,0,0,1,0,0,1,0,0,0,0
momotaro,0,0,0,0,0,0,0,0,0,0,0
tawara_toda,0,0,0,1,0,0,0,0,0,0,0
urashima_taro,0,1,1,0,0,0,0,0,0,1,0
yamato_takeru,0,0,0,0,0,1,0,0,0,0,1
yoshitsune,0,0,0,0,0,0,0,0,0,0,0
