,abe_no_seimei,benkei,empress_jingu,issun_boshi,jimmu,kaguya_hime,kintaro,momotaro,tawara_toda,urashima_taro,yamato_takeru,yoshitsune
abe_no_seimei,,0,0,0,0,0,0,0,0,0,0,0
benkei,0,,0,0,0,0,0,0,1,0,0,6
empress_jingu,0,0,,0,0,0,0,0,0,0,0,0
issun_boshi,0,0,0,,0,0,0,0,0,0,0,0
jimmu,0,0,0,0,,0,0,0,0,0,0,0
kaguya_hime,0,0,0,0,0,,0,0,0,0,0,0
kintaro,0,0,0,0,0,0,,1,0,0,0,0
momotaro,0,0,0,0,0,0,1,,0,0,0,0
tawara_toda,0,1,0,0,0,0,0,0,,0,0,0
urashima_taro,0,0,0,0,0,0,0,0,0,,0,0
yamato_takeru,0,0,0,0,0,0,0,0,0,0,,0
yoshitsune,0,6,0,0,0,0,0,0,0,0,0,
