,alberich,brynhild,frigg,odin,ran_and_daughters,rhinemaidens,sigurd,thor,urd_verdandi_skuld,valkyries,vidar,wagner_gods
aslaug,0,0,0,0,0,0,0,0,0,0,0,0
atli_etzel,0,0,0,0,0,0,0,0,0,0,0,0
beowulf,0,0,0,0,0,0,0,0,0,0,0,0
bodvar_bjarki,0,0,0,0,0,0,0,0,2,0,0,0
dietrich_von_bern,2,0,0,0,0,0,0,0,0,0,0,0
egil,0,0,0,0,1,0,0,0,0,0,0,0
grettir,0,0,0,0,0,0,0,0,0,0,0,0
gudrun_kriemhild,0,0,0,0,0,0,0,0,0,0,0,0
gunnar,1,7,0,0,0,0,9,0,0,0,0,0
hagen,2,0,0,0,0,1,0,0,0,0,0,0
helgi_hundingsbane,0,0,0,0,0,0,0,0,0,1,0,0
hervor,0,0,0,0,0,0,0,0,0,0,1,0
hrolf_kraki,0,0,0,0,0,0,0,0,2,0,0,0
lagertha,0,0,0,0,0,0,0,0,0,0,0,0
ragnar_lodbrok,0,0,0,0,0,0,0,0,0,0,0,0
sigmund,0,0,1,4,0,0,0,0,0,0,0,4
signy,0,0,0,0,0,0,0,0,0,0,0,0
starkad,0,0,0,2,0,0,0,3,0,0,0,0
