,aslaug,atli_etzel,beowulf,bodvar_bjarki,dietrich_von_bern,egil,grettir,gudrun_kriemhild,gunnar,hagen,helgi_hundingsbane,hervor,hrolf_kraki,lagertha,ragnar_lodbrok,sigmund,signy,starkad
aslaug,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atli_etzel,0,,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
beowulf,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bodvar_bjarki,0,0,1,,0,0,0,0,0,0,0,0,2,0,0,0,0,0
dietrich_von_bern,0,2,0,0,,0,0,2,1,1,0,0,0,0,0,0,0,0
egil,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
grettir,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
gudrun_kriemhild,0,0,0,0,2,0,0,,6,0,0,0,0,0,0,0,0,0
gunnar,0,5,0,0,1,0,0,6,,6,0,0,0,0,0,0,0,0
hagen,0,0,0,0,1,0,0,0,6,,1,0,0,0,0,0,0,0
helgi_hundingsbane,0,0,0,0,0,0,0,0,0,1,,0,1,0,0,2,1,1
hervor,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
hrolf_kraki,0,0,0,2,0,0,0,0,0,0,1,0,,0,0,0,0,0
lagertha,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
ragnar_lodbrok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
sigmund,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,5,0
signy,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,,0
starkad,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
