,ahriman,ahura_mazda,anahita,atar,azhi_dahaka,haoma,khvarenah,mithra,saoshyant,simurgh,spenta_armaiti,tishtrya,yima_jamshid
afrasiyab,2,2,1,0,0,2,0,0,0,0,2,0,0
arash,0,1,0,0,0,0,0,0,0,0,0,1,0
bahram_gur,0,0,0,0,0,0,0,0,0,0,0,0,1
bizhan_and_manizheh,0,0,0,0,0,0,0,0,0,0,0,0,0
esfandiyar,0,1,0,0,0,0,0,0,0,2,0,0,0
fereydun,1,1,1,0,4,1,1,1,0,0,0,0,3
garshasp,0,2,1,2,4,1,0,1,1,0,0,0,2
gordafarid,0,0,0,0,0,0,0,0,0,0,0,0,0
kaveh,0,0,0,0,4,0,0,0,0,0,0,0,1
kay_kavus,0,1,1,0,0,0,0,0,0,0,0,0,0
kay_khosrow,0,1,0,0,1,2,0,0,0,0,0,0,1
rostam,0,0,0,0,1,0,0,0,0,0,0,0,0
rudabeh,0,0,0,0,1,0,0,0,0,0,0,0,0
siyavash,0,0,0,1,0,0,1,0,0,0,0,0,0
sohrab,0,0,0,0,0,0,0,0,0,0,0,0,0
zal,0,0,0,0,0,0,0,0,0,4,0,0,0
