,afrasiyab,arash,bahram_gur,bizhan_and_manizheh,esfandiyar,fereydun,garshasp,gordafarid,kaveh,kay_kavus,kay_khosrow,rostam,rudabeh,siyavash,sohrab,zal
afrasiyab,,3,0,2,0,1,0,0,0,3,8,7,0,7,4,2
arash,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahram_gur,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
bizhan_and_manizheh,2,0,0,,0,0,0,0,1,0,6,3,0,0,0,0
esfandiyar,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,4
fereydun,1,0,0,0,0,,5,0,7,0,2,0,0,1,0,0
garshasp,0,0,0,0,0,5,,0,0,0,0,2,0,0,0,1
gordafarid,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
kaveh,0,0,0,1,0,7,0,0,,0,0,0,0,0,0,0
kay_kavus,3,0,0,0,0,0,0,0,0,,6,9,0,5,4,3
kay_khosrow,8,0,0,6,0,2,0,0,0,6,,3,0,2,0,2
rostam,7,0,0,3,5,0,2,0,0,9,3,,0,5,8,3
rudabeh,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0
siyavash,7,0,0,0,0,1,0,0,0,5,2,5,0,,0,0
sohrab,4,0,0,0,0,0,0,2,0,4,0,8,2,0,,2
zal,2,0,0,0,4,0,1,0,0,3,2,3,0,0,2,
