,carmenta,ceres,consus,cupid,cybele_magna_mater,diana,faunus,fortuna,juno,jupiter,manes,mars,mercury,penates,proserpina,quirinus,silvanus,vediovis,venus,vesta,vulcan
aeneas_hero,0,0,0,1,2,0,0,0,2,4,0,1,0,2,0,0,0,0,0,0,0
ascanius,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,0,1,0,0,0
camilla,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloelia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
coriolanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cumaean_sibyl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
evander,3,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
horatii_and_curiatii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horatius_cocles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
lavinia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lucretia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marcus_curtius,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
mucius_scaevola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nisus_and_euryalus,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
pallas,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
regulus,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0
romulus_and_remus,0,0,1,0,0,0,1,0,1,4,0,2,0,0,0,1,0,0,0,1,0
tarpeia,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,2,0
turnus,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,1
verginia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
