,aeneas_hero,ascanius,camilla,cloelia,coriolanus,cumaean_sibyl,evander,horatii_and_curiatii,horatius_cocles,lavinia,lucretia,marcus_curtius,mucius_scaevola,nisus_and_euryalus,pallas,regulus,romulus_and_remus,tarpeia,turnus,verginia
aeneas_hero,,3,0,1,0,3,3,0,1,3,0,0,0,3,4,0,2,0,4,0
ascanius,3,,0,0,0,0,0,0,0,2,0,0,0,4,0,0,1,0,1,0
camilla,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0
cloelia,1,0,0,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
coriolanus,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cumaean_sibyl,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evander,3,0,0,0,0,0,,0,0,0,0,0,0,0,6,0,2,0,1,0
horatii_and_curiatii,0,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
horatius_cocles,1,0,0,2,0,0,0,0,,0,0,0,1,0,0,0,1,0,0,0
lavinia,3,2,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0
lucretia,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
marcus_curtius,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
mucius_scaevola,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0
nisus_and_euryalus,3,4,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,1,0
pallas,4,0,0,0,0,0,6,0,0,1,0,0,0,0,,0,0,0,3,0
regulus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
romulus_and_remus,2,1,0,0,0,0,2,0,1,0,0,0,0,1,0,0,,2,0,0
tarpeia,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0
turnus,4,1,1,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,,0
verginia,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
