,alyosha_popovich,dobrynya_nikitich,ilya_muromets,ivan_tsarevich,krak_and_wanda,lech_czech_and_rus,libuse,marko_kraljevic,marya_morevna,mikula_selyaninovich,sadko,svyatogor,vasilisa,volkh_vseslavyevich
alyosha_popovich,,6,4,0,0,0,0,0,0,0,0,0,0,0
dobrynya_nikitich,6,,4,0,0,0,0,0,0,1,0,0,0,0
ilya_muromets,4,4,,0,0,0,0,0,0,1,0,9,1,0
ivan_tsarevich,0,0,0,,0,0,0,0,6,0,0,0,3,0
krak_and_wanda,0,0,0,0,,0,0,0,0,0,0,0,0,0
lech_czech_and_rus,0,0,0,0,0,,0,0,0,0,0,0,0,0
libuse,0,0,0,0,0,0,,0,0,0,0,0,0,0
marko_kraljevic,0,0,0,0,0,0,0,,0,0,0,0,0,0
marya_morevna,0,0,0,6,0,0,0,0,,0,0,0,0,0
mikula_selyaninovich,0,1,1,0,0,0,0,0,0,,0,3,0,2
sadko,0,0,0,0,0,0,0,0,0,0,,0,0,0
svyatogor,0,0,9,0,0,0,0,0,0,3,0,,0,0
vasilisa,0,0,1,3,0,0,0,0,0,0,0,0,,0
volkh_vseslavyevich,0,0,0,0,0,0,0,0,0,2,0,0,0,
