,abaddon,abraxas,adam_kadmon,angel_of_death,archons,asmodeus,azazel,azrael,barbelo,beelzebub,behemoth,belial,buraq,cherubim,christ,demiurge,gabriel,harut_and_marut,iblis,israfil,jinn,leviathan,lilith,lucifer,mammon,mephistopheles,metatron,michael,munkar_and_nakir,nephilim,nine_choirs,ophanim,raphael,raziel,samael,sandalphon,satan,seraphim,shekhinah,shemhazai,sophia,the_devil,uriel,watchers,yaldabaoth,ziz
abaddon,,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
abraxas,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
adam_kadmon,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
angel_of_death,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0
archons,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
asmodeus,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0
azazel,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,2,0,3,0,0,1,0,1,1,1,0,0
azrael,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0,0
barbelo,0,0,0,0,1,0,0,0,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0
beelzebub,0,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0
behemoth,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
belial,1,0,0,0,0,1,0,0,0,0,0,,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0
buraq,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherubim,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,1,0,0,0,0,1,0,1,0
christ,2,1,1,1,1,0,0,0,1,2,0,3,0,1,,3,1,0,0,0,0,1,0,2,1,0,0,3,0,0,2,0,0,0,0,0,7,1,0,0,3,8,1,0,4,0
demiurge,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,0,1,0
gabriel,1,0,0,1,0,0,1,1,0,1,0,0,3,2,1,0,,0,1,5,0,1,0,0,0,1,2,12,0,1,0,0,9,0,1,0,2,0,0,0,0,0,5,1,0,0
harut_and_marut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
iblis,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
israfil,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
jinn,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leviathan,0,0,0,0,0,0,0,0,0,1,7,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3
lilith,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,0,0
lucifer,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,2,0,0,0,0,,1,3,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
mammon,1,0,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
mephistopheles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0
metatron,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,2,0,0,0,1,0,0,3,3,0,0,2,1,0,0,0,1,0,0
michael,2,1,0,2,0,0,2,1,0,0,0,2,0,1,3,0,12,0,0,4,0,0,0,2,0,1,2,,0,1,1,0,7,0,1,0,3,1,0,2,0,5,7,1,0,0
munkar_and_nakir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nephilim,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,0,0,1,1,0,0,0,0,0,2,0,0,1,2,0,0
nine_choirs,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0
ophanim,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,2,0,3,0,0,0,0,0,0,0,0
raphael,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,1,0,7,0,1,0,0,,1,0,0,1,0,0,0,0,0,4,2,0,0
raziel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0
samael,0,0,0,2,1,2,2,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,3,1,0,0,0,0,0,0,,0,1,1,1,1,1,2,0,0,2,0
sandalphon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,,0,1,0,0,0,0,0,0,0,0
satan,1,0,0,1,0,0,3,0,0,4,2,2,0,2,7,0,2,0,1,0,0,1,1,2,2,0,0,3,0,0,2,0,1,0,1,0,,1,0,0,0,0,1,1,0,0
seraphim,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,1,1,1,,0,0,0,0,0,0,0,0
