,amachegua,ayaymama,ayots_avireri,bufeo_colorado,chullachaqui,itomi_pava,kamari,kashiri,maninkari,pareni,pava,pishtaco,poporrona_kiri,runamula,sachamama,shapshico,tasorentsi,tunche,yacumama,yacuruna,yos,yosoper_korioshpiri
amachegua,,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
ayaymama,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ayots_avireri,0,0,,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,0,1,0
bufeo_colorado,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
chullachaqui,0,0,0,1,,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
itomi_pava,1,0,0,0,0,,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
kamari,1,0,0,0,1,1,,0,2,0,0,1,0,0,0,0,1,1,0,0,0,3
kashiri,0,2,0,0,0,1,0,,0,0,3,0,0,0,0,0,2,0,0,0,0,0
maninkari,0,0,0,0,0,0,2,0,,0,1,0,0,0,0,0,1,0,0,0,0,0
pareni,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
pava,2,0,0,0,0,2,0,3,1,0,,0,0,0,0,0,2,0,0,0,0,0
pishtaco,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
poporrona_kiri,0,0,12,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0
runamula,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
sachamama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,0,0,0
shapshico,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
tasorentsi,1,0,1,0,0,0,1,2,1,0,2,0,0,0,0,0,,0,0,0,0,0
tunche,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
yacumama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,,1,0,0
yacuruna,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0
yos,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,5
yosoper_korioshpiri,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
