,amaru,apus,ayar_brothers,catequil,chasca,coniraya_and_cavillace,ekeko,huallallo_carhuincho,illapa,inti,kon,mama_cocha,mama_huaco,mama_ocllo,mama_quilla,mama_sara,manco_capac,pachacamac,pachamama,pariacaca,supay,urcuchillay,viracocha
amaru,,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
apus,0,,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0
ayar_brothers,0,0,,0,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,0,0,0,1
catequil,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
chasca,0,0,0,0,,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0
coniraya_and_cavillace,0,3,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,2
ekeko,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
huallallo_carhuincho,3,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
illapa,0,1,0,1,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,1,0,0,1
inti,0,1,1,0,5,0,0,0,3,,1,0,3,4,4,1,5,3,3,0,0,0,2
kon,0,0,0,0,0,2,0,0,0,1,,0,0,0,0,0,0,4,0,1,0,0,1
mama_cocha,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0
mama_huaco,0,0,3,0,0,0,0,0,0,3,0,0,,3,0,1,5,0,0,0,0,0,1
mama_ocllo,0,0,2,0,0,0,0,0,0,4,0,0,3,,2,0,5,0,0,0,0,0,1
mama_quilla,0,0,0,0,2,0,0,0,0,4,0,0,0,2,,0,1,0,0,0,0,0,1
mama_sara,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,1,0,0,0,0
manco_capac,0,0,0,0,0,0,0,0,0,5,0,0,5,5,1,0,,0,1,0,0,0,2
pachacamac,0,0,0,1,0,1,0,0,0,3,4,0,0,0,0,0,0,,0,1,0,0,2
pachamama,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,1,1,0,,0,2,0,1
pariacaca,3,0,0,0,0,2,0,4,1,0,1,0,0,0,0,0,0,1,0,,0,0,0
supay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,0,0
urcuchillay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
viracocha,1,0,1,0,0,2,1,0,1,2,1,0,1,1,1,0,2,2,1,0,0,0,
