,ahuiateteo,centeotl,centzon_totochtin,chalchiuhtlicue,chantico,chicomecoatl,cihuacoatl,cihuateteo,coatlicue,coyolxauhqui,ehecatl,huehueteotl,huitzilopochtli,itzpapalotl,itztlacoliuhqui,mayahuel,mictlantecuhtli,mixcoatl,nanahuatzin,ometeotl,opochtli,patecatl,quetzalcoatl,tecciztecatl,tepeyollotl,tezcatlipoca,tlahuizcalpantecuhtli,tlaloc,tlaloque,tlaltecuhtli,tlazolteotl,toci,tonantzin,tonatiuh,tzitzimime,xipe_totec,xiuhcoatl,xochipilli,xochiquetzal,xolotl,yacatecuhtli
ahuiateteo,,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0
centeotl,1,,0,0,0,4,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,0,1,0,1,2,2,0,2,2,0,0,0,0,0,4,2,0,0
centzon_totochtin,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chalchiuhtlicue,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,1,1,7,2,1,1,0,0,1,0,0,0,0,0,0,0
chantico,0,0,0,0,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
chicomecoatl,0,4,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0
cihuacoatl,0,0,0,0,1,0,,2,1,0,1,1,2,1,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0
cihuateteo,2,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0
coatlicue,0,0,0,0,0,0,1,0,,3,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0
coyolxauhqui,0,0,0,0,1,0,0,0,3,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ehecatl,0,0,1,1,0,0,1,0,0,0,,0,0,0,0,3,4,0,4,0,0,1,1,2,0,2,0,1,1,0,0,0,0,2,3,0,0,0,0,2,0
huehueteotl,0,0,0,0,1,0,1,0,0,0,0,,2,0,0,0,2,2,2,2,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,2
huitzilopochtli,1,0,0,0,0,1,2,0,4,7,0,2,,0,0,0,0,0,1,2,0,0,3,0,0,2,0,2,1,0,0,3,0,2,1,2,2,0,1,0,1
itzpapalotl,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0
itztlacoliuhqui,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0
mayahuel,1,2,3,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0
mictlantecuhtli,0,1,0,0,0,0,2,0,0,0,4,2,0,0,0,0,,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
mixcoatl,0,0,0,0,0,0,2,0,1,0,0,2,0,7,0,0,0,,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0,1,0,0,1,0,0
nanahuatzin,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,,3,0,0,2,4,0,1,2,1,2,0,0,0,1,2,0,0,0,2,3,3,0
ometeotl,0,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,3,,0,0,3,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0
opochtli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
patecatl,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quetzalcoatl,1,1,0,2,0,0,2,0,0,0,1,0,3,0,0,3,7,2,2,3,0,0,,1,1,9,2,4,1,2,0,0,0,1,1,3,1,1,0,5,2
tecciztecatl,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
tepeyollotl,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,2,0,0,2,0,0,0,0,0,0,0,1,0,0
tezcatlipoca,1,0,0,1,0,0,0,0,0,0,2,0,2,0,1,0,0,1,1,2,0,0,9,0,2,,1,5,0,3,1,0,0,1,1,2,1,0,6,1,2
tlahuizcalpantecuhtli,0,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,2,0,0,1,,0,0,0,0,0,0,4,0,0,1,0,0,1,0
tlaloc,0,2,0,7,0,2,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,4,0,2,5,0,,5,1,0,0,0,0,1,1,0,0,2,0,1
tlaloque,1,2,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0
tlaltecuhtli,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,3,0,1,0,,1,0,0,3,1,0,0,0,0,0,1
tlazolteotl,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,,1,0,0,0,1,0,0,2,0,0
toci,1,2,0,0,0,2,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,2,0,0,0,0,0,1,0,0
tonantzin,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0
tonatiuh,1,0,0,1,0,0,0,2,0,0,2,0,2,0,2,0,0,2,2,1,0,0,1,1,0,1,4,0,0,3,0,0,0,,1,1,1,0,1,3,0
tzitzimime,1,0,0,0,0,0,1,1,1,0,3,0,1,1,0,3,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,,0,0,0,0,0,0
xipe_totec,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,3,0,0,2,0,1,0,0,1,0,0,1,0,,0,0,0,0,0
xiuhcoatl,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,,0,0,0,0
xochipilli,1,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0
xochiquetzal,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,3,2,0,0,0,0,1,6,0,2,0,0,2,1,0,1,0,0,0,2,,0,0
xolotl,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,3,0,0,0,5,2,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,,0
yacatecuhtli,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
