,adonis,anat,asherah,astarte,attar,baal,baal_hadad,baal_hammon,baalat_gebal,chemosh,dagon,el,eshmun,horon,kothar_wa_khasis,kotharat,lotan,melqart,milcom,moloch,mot,nikkal,qadesh,rephaim,resheph,shahar_and_shalim,shapash,tanit,yam,yarikh
adonis,,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anat,0,,2,5,0,7,4,0,0,0,0,6,0,2,2,0,2,0,0,0,2,0,2,1,1,1,5,0,3,3
asherah,0,2,,1,2,7,1,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0
astarte,1,5,1,,0,3,3,1,2,0,0,2,3,1,0,0,0,3,2,1,0,0,1,0,1,0,1,1,3,1
attar,0,0,2,0,,2,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
baal,0,7,7,3,2,,0,0,0,0,1,9,0,1,7,1,3,0,0,1,5,1,0,1,1,1,9,1,1,1
baal_hadad,0,4,1,3,1,0,,1,0,0,2,1,0,0,2,0,1,0,0,0,3,0,0,0,0,0,2,0,1,0
baal_hammon,0,0,0,1,0,0,1,,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0
baalat_gebal,1,0,1,2,0,0,0,0,,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemosh,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0
dagon,0,0,0,0,0,1,2,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
el,0,6,6,2,3,9,1,1,2,0,2,,0,1,2,2,0,0,1,1,3,0,0,1,1,2,5,0,1,2
eshmun,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
horon,0,2,0,1,1,1,0,0,0,0,0,1,0,,2,0,0,2,0,0,1,0,0,0,3,2,3,0,0,1
kothar_wa_khasis,0,2,1,0,0,7,2,0,1,0,0,2,0,2,,0,0,0,0,0,0,0,0,0,1,1,3,0,3,1
kotharat,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,2
lotan,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,0
melqart,0,0,0,3,0,0,0,1,0,0,0,0,4,2,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0
milcom,0,0,0,2,0,0,0,0,0,6,0,1,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0
moloch,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,0,0,0
mot,0,2,0,0,0,5,3,0,0,0,0,3,0,1,0,0,1,0,0,0,,0,0,0,0,0,4,0,0,0
nikkal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,1,0,0,0,0,2
qadesh,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
rephaim,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,0,0,0
resheph,0,1,0,1,0,1,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,1,1,0,,1,3,0,0,0
shahar_and_shalim,0,1,0,0,1,1,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,,1,0,0,1
shapash,0,5,2,1,1,9,2,0,0,0,0,5,0,3,3,0,0,0,0,0,4,0,0,4,3,1,,0,0,3
tanit,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
yam,0,3,0,3,1,1,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,,0
yarikh,0,3,0,1,0,1,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,2,0,0,0,1,3,0,0,
