,aengus,aine,arawn,arianrhod,balor,belenus,blodeuwedd,boann,bran_the_blessed,branwen,bres,brigid,cailleach,ceridwen,cernunnos,dagda,danu,dian_cecht,don_and_beli_mawr,donn,epona,eriu,esus,fomorians,goibniu,gwydion,gwyn_ap_nudd,lir,lleu,lugh,lugus,manannan,manawydan,math,morrigan,nodens,nuada,ogma,rhiannon,sidhe,sucellus,sulis,taranis,teutates,tuatha_de_danann
aengus,,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
aine,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1
arawn,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arianrhod,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,0,0,10,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
balor,0,0,0,0,,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0
belenus,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blodeuwedd,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
boann,2,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bran_the_blessed,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
branwen,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
bres,0,0,0,0,3,0,0,0,0,0,,1,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,0,3,2,0,0,0,0,1,1,3,0,0,0,0,0,0,0
brigid,0,0,0,0,0,0,0,0,0,0,1,,2,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cailleach,2,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceridwen,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cernunnos,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dagda,4,2,0,0,0,0,0,3,0,0,4,1,0,0,0,,0,1,0,2,0,0,0,3,2,0,0,0,0,1,1,1,0,0,5,1,3,6,0,1,1,0,1,1,0
danu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dian_cecht,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,2,5,0,0,0,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0
don_and_beli_mawr,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
donn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2
epona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eriu,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0
fomorians,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,2,0,0,0,2,0,,4,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0
goibniu,0,0,0,1,2,0,0,0,0,0,2,1,0,0,0,2,0,5,1,0,0,0,0,4,,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0
gwydion,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,11,3,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0
gwyn_ap_nudd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
lir,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1
lleu,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0
lugh,0,0,0,2,4,0,2,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,1,3,0,0,1,,0,4,0,2,1,0,3,3,0,0,0,0,0,0,0
lugus,0,0,0,2,2,0,2,0,0,0,2,0,0,0,0,1,0,2,1,0,0,0,0,0,1,3,0,0,1,0,,2,0,2,1,0,2,2,0,0,0,0,0,0,0
manannan,1,2,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,4,2,,1,0,0,0,0,0,2,1,0,0,0,0,2
manawydan,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,,0,0,0,0,0,4,0,0,0,0,0,0
math,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,7,2,2,0,0,,0,0,0,0,0,0,0,0,0,0,0
morrigan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,,1,0,0,0,1,0,0,0,0,1
nodens,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,1,1,0,0,0,0,0,0,1
