,aker,amaunet,ammit,amun,anhur,anubis,anuket,apep,apis,ash,aten,atum,babi,bastet,bat,bennu,bes,ennead,forty_two_assessors,four_sons_of_horus,geb,hapi,harpocrates,hathor,heka,heqet,hermanubis,horus,horus_the_elder,hu_and_sia,huh_and_hauhet,ihy,imhotep,isis,iusaaset,kek_and_kauket,khepri,khnum,khonsu,maat,mafdet,mehit,meretseger,min,mnevis,montu,mut,nefertum,neith,nekhbet,nephthys,nun_and_naunet,nut,ogdoad,osiris,ptah,ra,renenutet,satis,sekhmet,serapis,serket,seshat,set,shai,shu,sobek,sokar,sopdet,sopdu,tatenen,taweret,tefnut,thoth,wadjet,wepwawet,werethekau
aker,,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0
amaunet,0,,0,7,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
ammit,0,0,,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
amun,0,7,0,,0,0,1,0,0,0,1,3,0,0,0,0,2,1,0,0,0,0,1,2,0,2,0,2,0,0,2,0,0,0,0,1,1,2,4,2,0,0,0,2,0,3,3,0,0,1,0,3,0,2,1,1,2,1,0,0,1,0,0,0,3,1,1,0,0,0,1,2,1,1,0,1,3
anhur,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,0
anubis,1,0,2,0,0,,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,2,0,0,0,1,3,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,3,0,0,0,6,0,2,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,0,5,0,5,0
anuket,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0
apep,2,1,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,6,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
apis,0,0,0,0,0,1,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ash,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
aten,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,0,0
atum,0,1,1,3,0,0,0,2,1,0,0,,0,2,0,1,0,3,0,1,2,0,1,2,1,0,0,3,0,2,2,0,0,2,6,2,3,0,1,2,1,0,0,0,2,1,0,1,1,0,1,5,1,2,4,2,1,0,0,0,0,0,1,1,1,4,0,0,0,1,1,0,3,2,0,0,0
babi,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
bastet,0,0,0,0,1,1,0,0,0,0,0,2,0,,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1
bat,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bennu,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
bes,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,1,3,0,0,0,3,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0
