,achamoth,adamas,aletheia_aeon,anthropos_aeon,autogenes,bythos,christ_aeon,ekklesia_aeon,epinoia,four_luminaries,hibil_ziwa,horos_stauros,invisible_spirit,jesus_soter,king_of_darkness_manichaean,living_spirit_manichaean,logos_aeon,nebro,norea,nous_monogenes,ogdoad_gnostic,pleroma_thirty_aeons,poimandres,primal_man_manichaean,ptahil,ruha_mandaean,sabaoth,saklas,seth_heavenly,sige_ennoia,third_messenger_manichaean,zoe_aeon
achamoth,,0,0,0,0,1,5,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adamas,0,,0,0,7,0,0,0,0,3,0,0,4,1,0,0,1,1,2,0,0,0,1,0,0,0,0,0,4,0,0,0
aletheia_aeon,0,0,,1,1,2,1,1,0,0,0,0,1,0,0,0,2,0,0,3,1,0,0,0,0,0,0,0,0,2,0,2
anthropos_aeon,0,0,1,,1,2,1,2,0,1,1,0,1,0,1,1,3,0,0,2,1,0,1,0,0,1,0,0,1,1,0,3
autogenes,0,7,1,1,,0,2,0,0,4,0,0,4,0,0,0,2,1,2,2,0,0,1,0,0,0,0,0,3,1,0,0
bythos,1,0,2,2,0,,3,1,0,0,0,2,0,2,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,6,0,1
christ_aeon,5,0,1,1,2,3,,2,1,0,0,3,0,3,0,1,1,0,0,2,1,4,0,0,0,1,0,1,0,0,0,0
ekklesia_aeon,0,0,1,2,0,1,2,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
epinoia,0,0,0,0,0,0,1,0,,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,2
four_luminaries,0,3,0,1,4,0,0,0,2,,0,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,1,3,4,0,0,0
hibil_ziwa,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,5,7,0,0,3,0,0,0
horos_stauros,2,0,0,0,0,2,3,0,0,0,0,,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
invisible_spirit,0,4,1,1,4,0,0,0,0,2,0,0,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,3,1,0,0
jesus_soter,5,1,0,0,0,2,3,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
king_of_darkness_manichaean,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0
living_spirit_manichaean,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
logos_aeon,0,1,2,3,2,3,1,1,0,0,0,0,0,0,0,0,,0,0,3,1,1,2,0,0,0,0,0,0,1,0,3
nebro,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,2,3,1,0,0,1
norea,0,2,0,0,2,0,0,0,3,5,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,3,0,0,0
nous_monogenes,0,0,3,2,2,3,2,1,0,0,0,2,0,0,0,0,3,0,0,,1,0,0,0,0,0,0,0,0,1,0,2
ogdoad_gnostic,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,0,1,0,0,0,0,0,0,1,0,1
pleroma_thirty_aeons,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
poimandres,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,,0,1,0,0,0,0,0,1,0
primal_man_manichaean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ptahil,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,,5,0,0,0,0,0,0
ruha_mandaean,0,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,0,0,0,0,0,3
sabaoth,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,,5,0,0,0,4
saklas,0,0,0,0,0,0,1,0,1,3,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,5,,3,0,2,1
seth_heavenly,0,4,0,1,3,0,0,0,0,4,3,0,3,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,,0,0,0
sige_ennoia,0,0,2,1,1,6,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,0,1
third_messenger_manichaean,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,,0
zoe_aeon,0,0,2,3,0,1,0,1,2,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,3,4,1,0,1,0,
