,aeolus,aether,amphitrite,ananke,anemoi,aphrodite,apollo,ares,argus_panoptes,ariadne,artemis,asclepius,asteria,astraeus,ate,athena,atlas,atropos,boreas,calydonian_boar,calypso,cerberus_hound,chaos,charites,charon,chimera,chiron,chronos_primordial,circe,clotho,coeus,crius,cronos,cyclopes,danae,demeter,dionysus,dioscuri,echidna,eileithyia,enyo,eos,epimetheus,erebus,erinyes,eris,eros,eros_primordial,erymanthian_boar,europa,gaia,ganymede,geryon,gigantes,glaucus_sea,graeae,hades,harmonia,harpies,hebe,hecate,hecatoncheires,helios,hemera,hephaestus,hera,heracles_god,hermaphroditus,hermes,hestia,horae,hyperion,hypnos,iapetus,iris,keres,lachesis,ladon,lernaean_hydra,leto,medusa,menoetius,metis,minotaur,mnemosyne,momus,morpheus,muses,nemean_lion,nemesis,nereids,nereus,nike,notus_and_eurus,nymphs,nyx,oceanus,oneiroi,orthrus,pallas_titan,pan,pasiphae,pegasus,persephone,perses_titan,phanes,phobos_and_deimos,phoebe,ploutos,polyphemus,pontus,poseidon,priapus,prometheus,proteus,python,rhea,scylla_and_charybdis,selene,sirens,sphinx,stymphalian_birds,styx,talos,tartarus,tethys,thanatos,theia,themis,thetis,triton,tyche,typhon,urania,uranus,zephyrus,zeus
aeolus,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
aether,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2
amphitrite,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1
ananke,0,1,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
anemoi,2,0,0,0,,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
aphrodite,0,0,1,1,0,,2,6,0,2,4,0,0,1,0,4,0,0,0,0,1,0,0,7,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,1,4,1,0,2,1,1,0,1,0,0,0,3,1,1,0,0,3,1,4,7,0,2,4,2,5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,3,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,2,1,2,2,0,2,1,7
apollo,0,0,1,0,2,2,,3,0,0,9,6,4,0,0,3,0,1,2,0,0,0,0,3,0,0,5,0,0,2,1,0,0,4,1,0,3,2,1,3,0,0,0,0,2,0,1,0,0,0,3,0,0,2,1,0,2,1,1,1,1,0,1,0,2,2,3,0,10,3,2,1,1,0,3,1,2,0,0,5,0,0,0,0,1,1,1,6,0,1,1,0,0,1,2,1,0,0,0,0,4,1,0,1,0,0,0,4,1,0,0,6,0,0,0,10,1,0,0,1,0,0,1,0,0,0,2,0,6,1,1,1,2,2,0,2,4
ares,0,0,0,0,0,6,3,,0,0,2,0,1,1,0,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,1,13,1,0,0,0,4,1,0,0,0,1,0,0,2,0,0,0,3,0,3,0,0,2,0,6,5,3,0,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,1,0,2,0,3
argus_panoptes,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ariadne,0,0,0,0,0,2,0,0,0,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
artemis,0,0,0,0,0,4,9,2,0,1,,2,3,0,0,2,0,0,0,3,0,0,0,1,0,0,1,0,0,0,1,0,0,3,0,0,2,0,0,2,0,1,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,5,0,0,0,1,3,2,0,1,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,2,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4
asclepius,0,0,0,0,0,0,6,0,0,0,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
asteria,0,0,0,0,0,0,4,1,0,0,3,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
astraeus,0,0,0,0,2,1,0,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
ate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
athena,0,0,1,0,0,4,3,5,0,1,2,1,0,0,0,,1,0,0,0,2,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,2,2,0,1,0,3,2,2,0,1,0,3,1,1,4,0,1,2,2,1,1,0,1,2,0,9,6,6,0,5,0,2,0,0,0,2,0,0,1,1,0,8,0,2,0,0,1,0,1,1,0,0,0,2,0,1,0,0,1,1,3,0,0,2,2,2,0,2,0,2,0,0,7,0,4,0,0,0,0,0,1,0,2,2,0,0,0,0,0,1,2,3,0,0,0,1,0,6
atlas,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4
atropos,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,0,0,1,0,2
boreas,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
calydonian_boar,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
