,angatupyry,ao_ao,arasy,guarani_twins,jakaira,jasy,jasy_jatere,kaa_jaryi,karai,kuaray,kurupi,luison,mboi_tui,monai,namandu,nande_sy,pai_sume,pombero,pora,tau_and_kerana,teju_jagua,tupa,yvy_mara_ey
angatupyry,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,3,0
ao_ao,0,,2,0,0,0,4,0,0,0,2,2,3,3,0,0,1,0,0,1,3,1,0
arasy,1,2,,0,0,0,2,0,0,0,1,1,2,2,0,0,0,0,0,3,2,7,0
guarani_twins,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
jakaira,0,0,0,0,,0,0,0,2,0,0,0,0,0,3,1,0,0,0,0,0,2,0
jasy,0,0,0,0,0,,1,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0
jasy_jatere,0,4,2,0,0,1,,0,0,0,3,2,3,3,0,0,1,1,0,1,4,2,0
kaa_jaryi,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
karai,0,0,0,0,2,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0
kuaray,0,0,0,0,0,6,0,0,0,,0,0,0,0,0,6,0,0,0,0,0,0,0
kurupi,1,2,1,0,0,0,3,0,0,0,,1,2,3,0,0,1,1,0,1,2,1,0
luison,0,2,1,0,0,0,2,0,0,0,1,,2,2,0,0,1,0,0,1,2,2,0
mboi_tui,0,3,2,0,0,0,3,0,0,0,2,2,,3,0,0,1,0,0,1,3,1,0
monai,0,3,2,0,0,0,3,0,0,0,3,2,3,,0,0,1,0,0,1,3,1,0
namandu,0,0,0,0,3,0,0,0,1,0,0,0,0,0,,3,0,0,0,0,0,2,0
nande_sy,0,0,0,3,1,3,0,0,0,6,0,0,0,0,3,,0,0,0,0,0,4,0
pai_sume,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,,0,0,2,1,1,0
pombero,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0
pora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
tau_and_kerana,5,1,3,0,0,0,1,0,0,0,1,1,1,1,0,0,2,0,0,,1,3,0
teju_jagua,0,3,2,0,0,0,4,0,0,0,2,2,3,3,0,0,1,0,0,1,,2,0
tupa,3,1,7,0,2,0,2,1,0,0,1,2,1,1,2,4,1,0,0,3,2,,0
yvy_mara_ey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
