,aditi,adityas,agni,airavata,andhaka,annapurna,apsaras,aryaman,ashtadikpala,ashvins,ayyappa,balarama,bali,bhaga,bhairava,brahma,brihaspati,buddha_avatar,budha_graha,chandra_soma,daksha,dattatreya,dhanvantari,durga,dyaus,gandharvas,ganesha,ganga,garuda,hanuman,hayagriva,hayagriva_asura,hiranyakashipu,hiranyaksha,indra,jagannath,jatayu,kali,kalki,kama,kamadhenu,kamsa,kartikeya,ketu,krishna,kubera,kurma,lakshmana,lakshmi,mahavidyas,mahishasura,mangala,manu,maruts,matrikas,matsya,mitra,nagas,nandi,narada,narasimha,navagraha,parashurama,parvati,prajapati,prithvi,pushan,radha,rahu,rakshasas,raktabija,rama,rati,ratri,ravana,rudra,rudras,sampati,saptarishi,saraswati,sati,savitr,shani,shesha_ananta,shiva,shukra,shumbha_and_nishumbha,sita,surya,tarakasura,tulsi,tvashtar,uchchaihshravas,ushas,vamana,varaha,varuna,vasuki,vasus,vayu,vishnu,vishvakarman,vithoba,vritra,yakshas,yamaraja,yami,yamuna
aditi,,3,1,1,0,0,0,2,0,0,0,0,2,2,0,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,2,0,2,0,2,0,4,0,0,0,0,0,0,0
adityas,3,,2,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,0,1,0,0,0,0,0,0,0
agni,1,2,,0,0,0,0,2,0,3,0,0,0,1,0,5,2,0,0,3,1,0,0,1,2,1,0,2,1,1,0,0,1,0,7,0,0,1,0,1,0,0,4,0,1,0,0,1,1,0,2,0,2,2,1,0,2,0,0,0,1,0,0,2,5,2,1,0,0,1,0,3,0,0,0,3,0,0,2,1,1,1,0,0,2,0,1,4,3,1,0,1,1,1,0,0,4,0,2,4,2,1,0,1,1,2,0,0
airavata,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
andhaka,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,3,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
annapurna,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
apsaras,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1
aryaman,2,1,2,0,0,0,0,,0,1,0,0,0,3,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0
ashtadikpala,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
ashvins,0,0,3,0,0,0,0,1,0,,0,0,0,3,0,0,0,0,0,4,0,0,1,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,5,0,0,1,0,2,0,0,2,0,1,0,1,2,0,1,0,0,1,1
