,aker_basque,anjana,ataecina,bandua,basajaun,busgosu,cuelebre,eguzki_amandrea,endovelicus,gaueko,herensuge,ilargi_amandrea,jentilak,lamiak,mari,meigas,mouras,nuberu,ojancanu,olentzero,santa_compana,sugaar,tartalo,trasgu,xana
aker_basque,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anjana,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
ataecina,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bandua,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basajaun,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
busgosu,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuelebre,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
eguzki_amandrea,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
endovelicus,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaueko,0,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
herensuge,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,2,0,0
ilargi_amandrea,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
jentilak,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,2,0,0,0,0,0
lamiak,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,1,0,0,1
mari,0,0,0,0,0,0,0,1,0,0,0,0,0,2,,0,0,0,0,0,0,6,0,0,0
meigas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0
mouras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
nuberu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
ojancanu,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
olentzero,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,0,0
santa_compana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0
sugaar,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,,0,0,0
tartalo,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,0,0
trasgu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
xana,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
