,amaterasu,ame_no_uzume,benzaiten,bishamonten,daikokuten,ebisu,hachiman,inari,izanagi_and_izanami,kagutsuchi,kami,kitsune,konohanasakuya_hime,okuninushi,oni,raijin_and_fujin,ryujin,sarutahiko,susanoo,takemikazuchi,tengu,tenjin,toyotama_hime,tsukuyomi,yamata_no_orochi
amaterasu,,4,1,0,1,1,3,0,5,0,1,0,1,2,0,1,0,2,7,3,0,0,0,4,0
ame_no_uzume,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
benzaiten,1,0,,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bishamonten,0,0,3,,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
daikokuten,1,0,3,4,,4,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
ebisu,1,0,2,1,4,,0,0,2,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0
hachiman,3,0,0,1,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
inari,0,0,2,0,0,0,0,,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
izanagi_and_izanami,5,0,0,0,0,2,0,1,,6,1,0,0,0,0,4,3,0,7,2,0,0,0,7,0
kagutsuchi,0,0,0,0,0,0,0,0,6,,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
kami,1,0,0,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,1,1,0,0,0,0,0
kitsune,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0
konohanasakuya_hime,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
okuninushi,2,0,0,0,2,4,0,0,0,0,1,0,0,,0,0,0,0,10,2,0,0,0,0,0
oni,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
raijin_and_fujin,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0
ryujin,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0
sarutahiko,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0
susanoo,7,1,0,0,1,1,0,1,7,0,1,0,0,10,0,0,0,0,,0,1,0,0,1,5
takemikazuchi,3,0,0,0,0,2,0,0,2,2,1,0,0,2,0,0,0,0,0,,0,0,0,0,0
tengu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,0,0,0,0
tenjin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,0
toyotama_hime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0
tsukuyomi,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0
yamata_no_orochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,
