,anchimallen,antu,caleuche,camahueto,cherufe,chonchon,colo_colo,cuero,elal,invunche,kai_kai_and_tren_tren,kalku,kuyen,machi_spirits,millalobo,ngen,ngunechen,nguru_filu,peuchen,pillan,pincoya,selknam_spirits,sumpall,trauco,wekufe
anchimallen,,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
antu,1,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,0,0,1,0,0,0,0,0
caleuche,0,0,,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0
camahueto,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherufe,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
chonchon,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
colo_colo,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuero,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1
elal,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
invunche,1,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
kai_kai_and_tren_tren,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,2,0,0
kalku,1,0,0,0,0,2,0,0,0,2,0,,0,1,0,0,0,0,0,0,0,0,0,0,1
kuyen,1,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,0,0,0,0,0,0,0
machi_spirits,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,1,3,0,0,0,0,0,0,0,1
millalobo,0,0,4,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,1,0,4,0,0,0,0
ngen,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,0,0,1,1,0,0,0,0
ngunechen,0,1,0,0,1,0,0,0,0,0,1,0,2,3,0,2,,0,0,1,0,0,0,0,1
nguru_filu,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1
peuchen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0
pillan,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,0,0,1,4
pincoya,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,,0,0,0,0
selknam_spirits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
sumpall,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,,0,1
trauco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
wekufe,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,4,0,0,1,0,
