,adad_ishkur,adapa,anshar_and_kishar,anu,anunnaki,anzu,apkallu,apsu,ashnan,ashur,bel,dumuzi_tammuz,enki_ea,enkidu,enlil,enmesharra,ereshkigal,erra,geshtinanna,gilgamesh_deified,girra,gula,humbaba,igigi,inanna_ishtar,ishara,ishum,kingu,lahmu_and_lahamu,lamashtu,lamassu,lugalbanda,marduk,mummu,mushussu,nabu,nammu,namtar,nanna_sin,nanshe,nergal,ninazu,ningishzida,ninhursag,ninkasi,ninlil,ninmah,ninshubur,ninsun,ninurta,nisaba,nusku,pazuzu,sarpanit,sibitti,tashmetu,tiamat,utnapishtim,utu_shamash,zababa
adad_ishkur,,0,0,2,2,1,2,0,2,2,1,0,2,0,4,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,2,2,1
adapa,0,,0,3,1,0,1,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anshar_and_kishar,0,0,,4,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
anu,2,3,4,,4,1,2,1,0,1,4,2,5,2,7,2,1,2,0,3,2,2,0,3,8,1,0,1,1,4,0,1,3,0,1,0,2,0,1,0,2,0,2,2,0,0,4,5,0,3,3,2,0,0,2,1,4,3,2,0
anunnaki,2,1,1,4,,0,0,1,0,0,0,0,5,0,2,0,1,1,0,1,0,0,0,7,3,0,0,2,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,0,0,1,1,1,0
anzu,1,0,0,1,0,,0,0,0,0,1,0,2,0,4,1,0,0,0,1,2,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,1,1,0,0,0,0,0,2,0
apkallu,2,1,0,2,0,0,,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
apsu,0,0,1,1,1,0,0,,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
ashnan,2,0,0,0,0,0,0,0,,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0
ashur,2,0,1,1,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
