,aegir,alberich,alvis,audhumla,baldr,bragi,brynhild,buri_bor_bestla,dvergatal_dwarves,einherjar,fafnir,fenrir,forseti,freyja,freyr,frigg,gerd,heimdall,hel,hermod,hodr,holda,huginn_and_muninn,idunn,jormungandr,jotnar,loki,mimir,nerthus,nidhogg,njord,odin,perchta,ran_and_daughters,ratatoskr,rhinemaidens,sif,sigurd,skadi,sleipnir,surtr,thor,tuisto_and_mannus,tyr,ullr,urd_verdandi_skuld,vali,valkyries,vidar,wagner_gods,wayland,wild_hunt,ymir
aegir,,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,2
alberich,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
alvis,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
audhumla,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
baldr,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,5,0,1,2,3,8,0,0,0,0,1,3,1,0,0,1,5,0,0,0,0,0,0,1,2,0,3,0,0,0,0,3,0,1,0,0,0,0
bragi,1,0,0,0,0,,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
brynhild,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
buri_bor_bestla,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvergatal_dwarves,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
einherjar,0,0,0,0,0,1,0,0,0,,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
