,aeshma,ahriman,ahura_mazda,airyaman,ameretat,amesha_spentas,anahita,apam_napat,asha_vahishta,ashi,atar,azhi_dahaka,daena,daevas,druj,fravashis,gayomart,haoma,haurvatat,hvar,khshathra_vairya,khvarenah,mah,mithra,nasu,rashnu,saoshyant,simurgh,spenta_armaiti,spenta_mainyu,sraosha,tishtrya,vayu_vata,verethragna,vohu_manah,yima_jamshid,zam,zurvan
aeshma,,3,1,0,0,0,0,0,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,2,0,1,2,0,0,0,6,0,0,0,1,1,0,0
ahriman,3,,11,1,1,1,0,0,3,0,3,3,1,2,2,3,2,0,2,1,1,2,1,3,1,1,1,0,2,7,3,2,0,0,2,5,1,7
ahura_mazda,1,11,,2,2,4,5,1,6,2,4,0,6,2,1,3,4,3,2,4,3,2,1,7,1,3,1,1,4,3,6,4,2,1,7,5,1,6
airyaman,0,1,2,,0,1,0,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ameretat,0,1,2,0,,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,1,0,1,0
amesha_spentas,0,1,4,1,0,,0,0,1,1,1,0,1,0,1,3,0,2,1,0,0,0,0,1,0,1,1,0,1,1,2,2,1,0,1,0,0,0
anahita,0,0,5,0,0,0,,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0
apam_napat,0,0,1,0,0,0,3,,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,1,0,0
asha_vahishta,1,3,6,5,1,1,0,0,,0,3,0,0,0,2,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,4,1,0,0
ashi,0,0,2,0,0,1,0,0,0,,0,0,1,0,0,1,0,1,0,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,0,0,0
atar,1,3,4,2,0,1,1,2,3,0,,2,1,1,0,2,0,0,0,1,0,1,0,2,0,0,2,0,0,4,2,0,0,0,3,2,0,0
azhi_dahaka,1,3,0,0,0,0,2,1,0,0,2,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,3,0,0
daena,0,1,6,0,0,1,0,0,0,1,1,0,,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3,0,0,0,3,0,0,0
daevas,2,2,2,0,0,0,1,0,0,0,1,0,1,,1,1,0,1,2,1,0,0,0,1,0,0,0,0,1,2,1,1,0,0,3,5,0,0
druj,0,2,1,0,0,1,0,0,2,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,0,0,1,0,0,0
fravashis,0,3,3,0,1,3,0,0,0,1,2,0,1,1,0,,1,0,1,0,0,0,1,2,0,1,2,0,0,1,2,1,0,0,1,0,0,0
gayomart,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,1,0,3,0,5,0,0,0,0,0,0,0,0,0
haoma,1,0,3,0,1,2,0,1,0,1,0,0,0,1,0,0,0,,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,1,2,1,0,0
haurvatat,0,2,2,0,4,1,0,0,1,0,0,0,0,2,0,1,0,1,,0,1,1,0,0,1,1,1,0,2,2,1,1,0,0,2,0,0,0
hvar,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,,0,0,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0
khshathra_vairya,0,1,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0
khvarenah,0,2,2,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,,0,1,0,0,1,0,1,1,0,0,0,0,1,5,0,0
mah,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
mithra,2,3,7,0,0,1,2,2,1,2,2,0,0,1,1,2,0,1,0,4,2,1,1,,0,8,0,0,1,0,5,1,0,1,0,0,0,0
nasu,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0
rashnu,1,1,3,0,1,1,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,8,0,,0,0,1,0,6,0,1,3,1,0,1,0
saoshyant,2,1,1,1,0,1,0,0,0,1,2,0,0,0,2,2,3,1,1,0,0,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,0
simurgh,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,0
spenta_armaiti,0,2,4,0,2,1,0,0,0,1,0,0,2,1,0,0,5,0,2,0,1,1,0,1,0,1,1,0,,2,0,0,0,0,2,1,1,0
spenta_mainyu,0,7,3,0,0,1,0,0,0,0,4,0,0,2,1,1,0,0,2,1,0,1,0,0,0,0,0,0,2,,0,0,1,0,4,1,0,0
sraosha,6,3,6,0,1,2,0,0,1,1,2,1,3,1,1,2,0,1,1,0,0,0,0,5,1,6,0,0,0,0,,0,1,0,3,1,0,0
tishtrya,0,2,4,0,1,2,0,4,0,0,0,0,0,1,0,1,0,1,1,2,0,0,1,1,0,0,0,1,0,0,0,,0,0,1,0,0,1
vayu_vata,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,,0,0,0,0,1
verethragna,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,,0,0,0,0
vohu_manah,1,2,7,0,1,1,0,0,4,0,3,0,3,3,1,1,0,2,2,0,2,1,2,0,0,1,1,1,2,4,3,1,0,0,,1,0,1
yima_jamshid,1,5,5,0,0,0,2,1,1,0,2,3,0,5,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,1,,0,0
zam,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,0
zurvan,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,
