,aesculapius,aurora,bacchus_liber,bellona,carmenta,castor_and_pollux_in_rome,ceres,cloacina,concordia,consus,cupid,cybele_magna_mater,diana,egeria,fama,faunus,feronia,fides,flora,fortuna,genius,hercules_in_rome,isis_in_rome,janus,juno,jupiter,juventas,lares,libertas,lucina,luna,manes,mania,mars,mater_matuta,mercury,minerva,mithras_roman,neptune,ops,pax,penates,picus,pietas,pluto_dis_pater,pomona,portunus,proserpina,quirinus,robigus,roma_dea,salus,saturn,silvanus,sol_invictus,spes,summanus,terminus,vediovis,venus,veritas,vertumnus,vesta,victoria,vulcan
aesculapius,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
aurora,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1
bacchus_liber,0,0,,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,2,2,1,0,0,3,4,0,0,1,0,0,0,0,2,1,3,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0,2,0,1,0,0,1
bellona,0,0,0,,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
carmenta,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castor_and_pollux_in_rome,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ceres,0,0,3,0,0,0,,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,2,4,0,0,0,0,3,1,0,0,0,0,0,0,2,4,1,1,0,0,3,0,0,4,0,1,0,0,2,0,0,0,0,0,0,2,0,0,2,1,0
cloacina,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
concordia,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
consus,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
