,agassou,agwe,ayida_wedo,ayizan,azaka,baron_samedi,bondye,bossou,damballa,dan,erzulie_dantor,erzulie_freda,gede,gran_bwa,gu,hevioso,kalfou,la_sirene,loko,maman_brigitte,marassa,mawu_lisa,new_orleans_voodoo,ogou,papa_legba,petro_lwa,sakpata,simbi,sobo_and_bade,ti_jean_petro
agassou,,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
agwe,1,,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,1,0,0,1,1,0,0,0,0,1,2,0
ayida_wedo,2,1,,0,0,0,0,1,6,3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0
ayizan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,1,0,0,0
azaka,0,0,0,0,,0,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,2,1,0,0,0,1,0
baron_samedi,0,0,0,0,0,,1,0,0,0,0,0,4,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0
bondye,0,0,0,0,0,1,,0,1,0,0,1,1,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0
bossou,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
damballa,1,1,6,0,0,0,1,1,,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
dan,0,0,3,0,0,0,0,0,1,,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
erzulie_dantor,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3
erzulie_freda,0,1,1,0,0,0,1,0,0,1,0,,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
gede,0,0,0,0,3,4,1,0,0,0,0,2,,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
gran_bwa,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
gu,0,1,0,0,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,3,0,1,2,0,1,0,0,0
hevioso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,0,2,0,4,0,5,0
kalfou,0,0,0,0,0,2,0,1,0,0,0,0,1,4,0,0,,0,0,0,0,0,0,0,2,0,0,1,0,0
la_sirene,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0
loko,1,1,0,5,2,0,0,0,0,0,0,0,0,3,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,0
maman_brigitte,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
marassa,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,0,0,2,0,0,0,0,0
mawu_lisa,0,1,2,0,0,0,1,0,2,1,0,0,0,0,3,3,0,0,1,0,2,,0,0,1,0,2,0,3,0
new_orleans_voodoo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0
ogou,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,,0,0,0,0,1,0
papa_legba,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,2,2,0,0,0,2,1,1,0,,0,2,0,0,0
petro_lwa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
sakpata,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,2,0,0,2,0,,0,1,0
simbi,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,2
sobo_and_bade,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,3,0,1,0,0,1,0,,0
ti_jean_petro,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,
