,aganju,ajogun,babalu_aye,dada,egungun,erinle,eshu_elegua,ibeji,iroko,iyami_aje,logun_ede,nana_buruku,oba,obatala,odu_ifa,oduduwa,ogun,oke,olodumare,olokun,ori,orisha_oko,orunmila,osanyin,oshosi,oshun,osumare,osun_staff,oya,shango,yemoja,yewa
aganju,,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,6,4,0
ajogun,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
babalu_aye,0,0,,1,1,0,0,0,0,0,2,5,1,2,1,0,2,0,1,0,0,1,4,1,0,1,1,1,4,1,3,2
dada,2,0,1,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0
egungun,0,0,1,0,,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,7,4,0,0
erinle,0,0,0,0,0,,0,0,0,0,3,0,0,1,1,0,1,0,1,1,0,1,3,1,2,2,1,0,0,2,4,0
eshu_elegua,1,3,0,0,2,0,,1,0,0,1,0,1,2,0,1,5,0,5,0,1,0,6,0,3,1,0,7,0,3,0,0
ibeji,0,0,0,0,0,0,1,,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3,2,3,0
iroko,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0
iyami_aje,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,1,0
logun_ede,0,0,2,0,0,3,1,0,0,0,,0,1,3,0,0,3,0,0,0,0,0,3,0,5,4,0,0,4,0,2,0
nana_buruku,0,0,5,0,0,0,0,1,1,0,0,,0,5,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1
oba,0,0,1,0,0,0,1,1,0,0,1,0,,1,1,0,3,0,0,0,0,0,2,0,0,1,1,2,5,6,2,2
obatala,2,0,2,1,0,1,2,1,0,0,3,5,1,,1,9,5,2,5,2,1,2,4,0,1,2,0,4,2,3,2,1
odu_ifa,0,0,1,0,1,1,0,0,0,0,0,0,1,1,,1,2,0,1,1,1,0,4,1,0,0,0,1,1,1,1,0
oduduwa,1,0,0,0,0,0,1,0,0,1,0,1,0,9,1,,4,0,4,3,0,0,4,0,1,0,0,1,0,0,2,2
ogun,1,0,2,1,0,1,5,0,0,0,3,1,3,5,2,4,,0,3,1,0,0,3,1,6,2,0,9,5,6,5,0
oke,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,1,1,0,3,1,0,0,1,0,0,0,0,1,0
olodumare,0,1,1,0,1,1,5,0,1,1,0,0,0,5,1,4,3,1,,1,2,0,7,0,2,2,2,1,0,1,1,0
olokun,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,3,1,1,1,,0,2,5,0,0,1,2,0,1,0,6,3
ori,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,,1,2,0,0,0,0,0,0,0,0,0
orisha_oko,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,2,1,,2,0,0,0,0,0,1,2,5,2
orunmila,0,1,4,0,2,3,6,1,0,2,3,0,2,4,4,4,3,1,7,5,2,2,,7,0,5,0,6,2,5,2,5
osanyin,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,7,,5,1,1,0,1,2,0,2
oshosi,0,0,0,0,0,2,3,0,0,0,5,0,0,1,0,1,6,0,2,0,0,0,0,5,,3,0,3,0,0,1,0
oshun,3,0,1,0,0,2,1,2,0,0,4,0,1,2,0,0,2,1,2,1,0,0,5,1,3,,0,0,2,2,3,1
osumare,0,0,1,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,2,2,0,0,0,1,0,0,,0,0,1,1,4
osun_staff,0,0,1,0,0,0,7,2,0,1,0,0,2,4,1,1,9,0,1,0,0,0,6,0,3,0,0,,5,1,2,0
oya,0,0,4,0,7,0,0,3,0,0,4,0,5,2,1,0,5,0,0,1,0,1,2,1,0,2,0,5,,13,2,4
shango,6,0,1,11,4,2,3,2,0,0,0,0,6,3,1,0,6,0,1,0,0,2,5,2,0,2,1,1,13,,4,3
yemoja,4,0,3,1,0,4,0,3,0,1,2,2,2,2,1,2,5,1,1,6,0,5,2,0,1,3,1,2,2,4,,2
yewa,0,0,2,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,3,0,2,5,2,0,1,4,0,4,3,2,
